PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project,Photos on server,Photos on server NEW test,CO1 NEW,PSBA NEW,RBCL NEW
1872,,,Ulva fenestrata,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Mid intertidal, on rock",,,50.13426,-125.19437,Soren Huber,,Soren Huber,14-Aug-2019,bioblitz2019,1,1,,,
1901,,,Ulva fenestrata,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Rocky, tidepool, mid intertidal",,,50.13426,-125.19437,Jasmine Lai,,"Alana Breitkreutz, Jasmine Lai",14-Aug-2019,bioblitz2019,1,1,,,
1922,,,Ulva fenestrata,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Epilithic, high tidepool",,,50.13426,-125.19437,Patrick T. Martone,,Patrick T. Martone,14-Aug-2019,bioblitz2019,1,1,,,
1866,,,Ulva intestinalis,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Rocky, low intertidal",,,50.13426,-125.19437,Alana Breitkreutz,,"Alana Breitkreutz, Jasmine Lai",14-Aug-2019,bioblitz2019,1,1,,,
1869,,,Ulva intestinalis,?,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Mid intertidal, epiphytic",,,50.13426,-125.19437,,,,14-Aug-2019,bioblitz2019,1,1,,,
1873,,,Ulva intestinalis,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,Drift,,,50.13426,-125.19437,Soren Huber,,Soren Huber,14-Aug-2019,bioblitz2019,1,1,,,
1923,,,Ulva intestinalis,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Bedrock, low-shore, rock wall, epiphytic with Fucus distichus, with fleshy red",,,50.13426,-125.19437,Jennifer Clark,Tyrell Forese,Jennifer Clark,14-Aug-2019,bioblitz2019,1,1,,,
1930,,,Ulva intestinalis,,BOLD,,,,,,,Martonelab,,,Green,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,Epithitic on Fucus receptacles,,,"Lower mid-intertidal, with Fucus distichus",,,50.13426,-125.19437,Patrick T. Martone,,Patrick T. Martone,14-Aug-2019,bioblitz2019,1,1,,,
1908,,,Ralfsia fungiformis,,BOLD,,,,,,,Martonelab,,,Brown,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Low intertidal, on rock",,,50.13426,-125.19437,Varoon Pornsinsiriuk,,"Varoon, Megan Fass",14-Aug-2019,bioblitz2019,1,1,,,
1949,,,Ralfsia sp.,,BOLD,,,,,,,Martonelab,,,Brown,Canada,British Columbia,"Quadra Island, North of Yaculta",15-Aug-2019,,,,,low/mid intertidal on boulder with Ulva,,,50.02962,-125.20238,Jennifer Clark,Brenton Twist,"Jennifer Clark, Brenton Twist",15-Aug-2019,bioblitz2019,1,1,,,
1863,,,Sargassum muticum,,BOLD,,,,,,,Martonelab,,,Brown,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"subtidal,on rock",,,50.13426,-125.19437,Varoon  Pornsinsiriruk,,"Varoon Pornsinsiriruk, Megan Fass",14-Aug-2019,bioblitz2019,1,1,,,
1878,,,Sargassum muticum,,BOLD,,,,,,,Martonelab,,,Brown,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Bedrock, mid tidepool",,,50.13426,-125.19437,Jennifer Clark,Tyrell Forese,Jennifer Clark,14-Aug-2019,bioblitz2019,1,1,,,
